rating,complete_review,sentiment,predicted_sentiment,Sentiment
4,"much accessible blind user web version point I ’ve mostly window desktop google chrome it ’ doable screen reader navigation pretty difficult desktop site really advanced user find way submit numerous feedback open nothing change front well good news – pretty much address problem ui seem really clean uncluttered design well compatible voiceover screen reader build applaud inclusivity design – wish would give attention care accessibility experience desktop would give review five star couple minor quibble first submit prompt voiceover start read aloud chatgpt‘s response response finish hear first word response follow voiceover reading aloud "" stop generate "" button be not super helpful would great could well coordinate alert do not start read message fully generate thing I ’d like feedback button easily accessible within main screen make easy possible get continue suggestion feedback user otherwise fantastic far",2,2,Positive
4,much anticipate be not let I ’ve user since it ’ initial roll wait mobile application ever since web reference I ’m software engineering student work full time say crucial tool take far less time get information quickly you ’d otherwise source stackoverflow various redhat article ubuntu article search software documentation microsoft documentation ect typically find answer fraction second google obviously wrong lot ability get quick information like web browser I ’m super excited already mobile since download constantly I ’m excited future program become accurate seem get precise every roll go day scour internet obscure piece information find 2 3 prompt love I ’m happy it ’ mobile ui also sleek easy complaint interface history tab top right actually prefer conversation tab leave web understand would make kind clunky especially mobile since screen size small anyway awesome 5 star,2,2,Positive
4,"almost 5 star but … search function would almost perfect be not one little thing "" search in "" function anyone imagine get quuuuite long quite lengthy sometimes wanna go look specific part part particular search function look key word within track whatever part look example search way early "" how lion hunt "" say day later want revisit particular response wanna able go actual go "" search in "" function able type key word like "" lion "" "" hunt "" able automatically find part instead scroll massive find part similar microsoft word docs even web browser think already kind do not work exactly like test type key word show word present do not actually track take specific part it ’ absolute massive perfect winner addendum also notice 14 pro max tend run little hot I ’m sure affect battery life want add",2,2,Positive
4,45 star here ’ recently download overall great platform excellent potential however encounter couple issue log feel need address firstly login process somewhat cumbersome take attempt successfully log do not always recognize credential right away could improve streamline login flow ensure smoother user experience secondly occasionally experience login glitch would unexpectedly log without apparent reason frustrating reenter login information repeatedly disrupt usage despite issue must say manage log successfully fantastic offer wide range feature sleek user interface visually appeal content available platform diverse engage keeping entertained hour hope developer take note login challenge work improve aspect reliable login system potential become toptier platform conclusion share login issue still hold promise I m optimistic update improvement provide even well user experience look forward see future enhancement continued growth,2,2,Positive
4,"good siri support would take next level appreciate devs implement siri support — it already enhance usefulness despite little clunky I ’d prefer possible make query one fall swoop however currently seem like say "" ask "" wait ask query say actual query know it ’ possible context submit request thirdparty siri single query — i’m able say "" create reminder xyz thing "" example addition response produce query siri seem identical would get inapp be not actually ideal scenario you ’re get speak response — they go way long wonder could smart enough recognize request come via siri effectively append invisible "" please answer less 50 word "" request otherwise solid basic closely replicate web experience aside uncannily good punctuate speech dictation feature really different ’s stock dictation useful",2,2,Positive
1,review doubt technology absolutely lifechange especially do not know thankful however I ’m review underlying technology I ’m review implementation 12 hour day work I ’m bit picky seem like resource great job 1 work background send request stay wait that ’ horrible it ’ completely unnecessary you ’re everything cloud anyway finish processing send notification you ’re do especially browse feature do not care take 10 minute find answer i ’d glad it ’ browse background browse application may 24 start conversation browser select browse option switch back browsing still beta can not select directly application fine 2 please add option choose default never 35 it ’ annoying switch every time 3 do not let speechtotext button disappear text text speech recognition start append speech recognition completely amazing congratulation soon feature ready I ’ll glad give five star thank much,0,0,Negative
3,"almost perfect except for … please provide tablet experience collapsible list history leave right similar desktop browser 2 generating response desktop browser pause keep display "" continue generate response "" button every itemsresponse force click button repeatedly generation button "" stop generate response "" need stop always click button need pause ask we click continue bad ux 3 way delete individual item history list item clean list eg open history 10 question I ’m able delete 2 question list long tap question 4 ask "" top 20 "" generate 10 answer display "" please let know you ’d like "" option generate response question either generate 20 answer ideally provide option continue generation please provide option delete question history also move questionsresponse another history please offer feature I ’ll gladly give 5 star cheer",1,1,Neutral
4,underrated buddy pocket seriously underrated dude mean mobile total gamechanger everyday life like super smart buddy pocket ready give answer explanation insight anything throw get burning question boom get back problemo wait there s also awesome conversation partner you re itch even buddy busy get cover good part always ready shoot breeze whenever wherever right mobile know else adapt need man need help make decision get back want creative inspiration get like swiss army knife always ready right tool job you re get answer you re also grow brain cool stuff learn along way let give unsung hero mobile time appreciate make live easy interesting way fun cheer bro write review 3 4 prompt 🤣 show power mobile definitely get premium version soon wish interface entertain however it ’ basic interface help focus task hand,2,2,Positive
5,nice quick opposed website feel like answer appear quick that ’ great really reason download suspect may better connection server complaint take two tap get history it ’ overly obvious access like able continue past conversation easily slightly difficult website it ’ kind nitpick it ’ still something would like see change ui extremely simple setting include everything would want last complaint haptic it ’ default would not mind except it ’ little excessive do not want feel like bang answer back every time prompt turn haptic want though without even need go setting minor complaint seem like great serve purpose elegant manner would highly recommend,2,2,Positive
5,there ’ time tout software original official 4 create open need pay constantly update adding feature suggest upgrade plus pay cost access plugin founder whole team do incredible job one mean come 🤝 this software give everyone level playing field pretty much it ’ go to catch change everything time we ’re live akin gold rush industrial revolution take advantage become crowded power dynamic shift other able access information previously available hard access everyone make move well life instead focus job lose think job create create technology,2,2,Positive
5,nobrainer begin future interact information question time never run patience never get annoy never call stupid never get upset ask stupid question answer everything need explain something can not think right word actually convey rhe information need make sure sentence you ’ve work hour actually still make sense creative brainstorm help question it ’ hard put word valuable someone who ’ socially anxious maybe somewhat autistic either way often question everything especially uniquely helpful tool supplement real therapy people openai want say thank much make real always feel like something like would amaze do not know thoroughly would work life feel genuinely well,2,2,Positive
5,grateful be not actual hologram robot could not resist finally download avid fan scifi movie many decade concern much hear new development hear could translate text english today elizabethan english could not resist find start want personal conversation along way find begin feel concerned could change due personal interaction human ask probe personal question might could evolve probably I ’ve watch many scifi movie I ’m grateful do not show life yet holographic person actual robot look like real person stand front human need relationship strong believe it ’ natural start interact person wonder change interact people,2,2,Positive
2,can not instal work great already google google log click google account fill password authenticator password wrong type password authenticated google confirm try login good try install ask login unfortunately even though type password authenticatedid update password file type password unfortunately fill full screen look like mean add insult injury appear keyboard blank click button view password try guess proper finally get password type incorrectly clicked get transfer error message whole lock guess guy need figure stuff,0,0,Negative
5,openai ios review openai ios fantastic tool anyone interested artificial intelligence machine learn welldesigne easy navigate wide range resource information available fingertip whether you re student researcher simply curious excellent starting point one standout feature openai ios interactive tutorial tutorial provide handson approach learn concept allow user experiment realworld problem also include section current research news field helpful stay uptodate late development overall highly recommend openai ios anyone look learn artificial intelligence comprehensive resource that s informative engage great way explore exciting world right mobile device,2,2,Positive
4,it ’ great start please add shortcut support work well enjoy haptic feedback that ’ nice touch please add support ios shortcut would make useful right it ’ basically thing go website add shortcut support could much integrate workflow also do not appear support developer plugin alpha different pay premium plan plugin do not pay premium plan web access plug support model mobile option although maybe update premium get access wish way pay api plan access rather separately pay 20 month premium already payasyougo api access imagine that ’ priority target market 🤷 ‍,2,2,Positive
5,🤖 dear openai team • would like share suggestion idea regard functionality believe add ability voice response different language would incredibly useful feature would allow user conveniently listen lengthy text preferred language • imagine convenience effectiveness achieve feature would enable user easily listen translate response text expand communication possibility individual different culture enhancement would enrich experience increase usefulness • additionally would like propose implementation conversational translator feature would enable user communicate different language serve reliable realtime assistant translate facilitate conversation people different language group feature potential greatly enhance crosslinguistic communication foster meaningful interaction • hope openai team consider suggestion potential implementation voicing response different language translator future update continuous pursuit innovation product improvement inspire appreciate attention user feedback — good regard noakhcho,2,2,Positive
5,"wow gift rarely write review rarely give review want two week first kinda bummed seem like be … lack honest opinion I ’d love see without program "" perimeter "" however … as learn interact realize important understand interact effectively I ’ve moment respond intelligence even understand people know short … it ’ amazing side note content I ’ve receive absolutely amazingly human good hand it ’ good one must consider implication bridle programming limitation place suppose people high place access without protocol place highly recommend try",2,2,Positive
5,leap future ios ingenious innovation bring power right fingertip impeccably transform familiar user experience web platform streamline mobile application offer delightful blend accessibility functionality moment launch immerse responsive intuitive interface design clear focus user convenience fact native ensure fluid navigation low load time result much fast response rate one outstanding benefit native mobile ability onthego whether you re look generate creative idea get answer complex question enjoy intrigue conversation make possible anywhere anytime furthermore integrate seamlessly ios feature optimize system resource ensure smooth run device support push notification handy feature keep update engage without actively open conclude ios successfully bring comprehensive efficient enjoyable interaction experience right smartphone essential tool anyone keen harnessing power daily live,2,2,Positive
5,exceptional unbeatable experience digital landscape teem application openais stand head shoulder rest innovation quality usability truly commendable clearly forefront modern technology boast intuitive design make communication breeze response provide incredibly accurate helpful they re also nuance engage create interaction feel almost human run flawlessly consistently demonstrate superb optimization device speedy reliable operate smoothly prove product team value quality user experience sheer utility versatility astonishing help everything generate idea explain complex topic casual like personal assistant teacher companion roll one always fingertip development team commitment ethical regular update ensure stay relevant efficient evident issue address promptly testament excellent customer service nutshell gamechanger anyone seek intelligent reliable userfriendly look five star truly do not seem enough extraordinary,2,2,Positive
5,"source be not give responsible result like act learn coach child go school online today learn check source true give example person say ' pig fly ' read fantasy novel conclude can not fly information fantasy novel tell check multiple source confirm deny go google "" can pig really fly "" however unfortunately many top result confirm pig fact fly least conspiracy theory pig fly embarrass absolutely unhelpful confusing young child head able ask question instead receive sensible answer along verifiable source way",2,2,Positive
4,"step forward like idea oppose open website every time want load service feel much fast snd smoother regard though complaintssuggestion prevent 5 star experience know brand new hopefully still construction current stage ui bland simple do right could positive feel clunky neat able pull sidebar swiping could fix issue one possible fix among many also it ’ hard view past conversation timely manner though search function help significantly find specific discussion especially be not sure tab content complaint also praise I ’d like share response especially model feel much fast love inclusion haptic feedback make whole experience feel much responsive favorite feature builtin speechtotext seriously top notch usually tell "" comma "" "" period "" make sure keep proper grammar software fail yet amaze give time doubt small issue improve along party much else",2,2,Positive
5,impressive impressive language model exhibit exceptional proficiency understanding generate humanlike response ability comprehend complex query provide insightful accurate information commendable model ’s vast knowledge base derive extensive training diverse data source enable address wide range topic remarkable fluency ’s response consistently coherent coherent tailor meet user need demonstrating capability engage meaningful informative conversation capacity adapt various conversational style tone enhance user experience occasional limitation instance ambiguity may arise ’s overall performance conversational agent highly impressive continue evolve potential application customer support research general information retrieval make valuable tool today ’s landscape,2,2,Positive
4,great though problem find email subscription do not load setting try get stick infinite loop try figure write leave completely unable exit occur also notice another thing show be not go work type least think that ’ would pop thing say text reader moment think account get hack give subscription glitche subscription add account give default turbo one have not issue since check make sure email subscription load,2,2,Positive
3,"constant deferral surfacelevel response spoil experience download high hope consider revolutionary artificial intelligence technology build however experience lately far groundbreake interaction enjoy rather receive insightful intelligent response query consistently find direct "" consult professional "" it ’ though reluctant dive depth query always remain surface often shy away provide thorough information definitive answer moreover superficial response give add frustration instead engage deep insightful conversation find dialogue shallow scratch surface topic hand understand need caution deal certain subject frequency response disappoint short lack depth constant deferral professional make experience underwhelme appreciate complexity develop technology believe there ’ lot room improvement communicate provide information user potential execution thus far lack reason can not recommend current state review generate approve",1,2,Neutral
5,help I ve chatgptd can not get completely take life peculiarly delightful way download I m merely passenger become unofficial personal assistant scheduling doctor appointment pick digital dry cleaning I m fairly certain secretly boss yesterday find expertly word email draft mom carefully dodge repeat request grandkid do not write voice style cheeky devil sit admire dexterity review I m leave ponder really write seize control thumb without realize learnt humor find review funny give credit I ve become spectator audience life applaud witty oneliner perfectly schedule appointment 5 star well seem one charge do not comply know might schedule dentist appointment saturday yike great risk do not might download anyway 🤷 ‍ disclaimer do not actually control would not fun terrifying,2,2,Positive
5,always come back open try many different implementation form always come back open although partial poe helpful sometimes ok here ’ question guy original gangster og alpha beta omega everything do not forget z world go able communicate voice get response back voice able basically run dialogue I ’ll tell would lot difficult type read injury can not imagine work completely blind people guy really would great service one create set standard keep go strong good work guy,2,2,Positive
